state	power	likelihood
900	0.00454354	-56963.4
1000	0.00454354	-57146.1
300	0.00335544	-57329.5
400	0.00335544	-57989.7
500	0.00335544	-58413.9
600	0.00335544	-57453.3
700	0.00335544	-57422.4
800	0.00335544	-58726.7
900	0.00335544	-57711.9
1000	0.00335544	-57244.7
300	0.00243	-57511.4
400	0.00243	-59640.4
500	0.00243	-57408.1
600	0.00243	-57361.2
700	0.00243	-57826.6
800	0.00243	-57228
900	0.00243	-57534.7
1000	0.00243	-59767.5
